dataset,space,sample_idx,bundle_id,true_item,true_option_char,gt_cos,distractor_mean_cos,distractor_max_cos,gt_rank
pog,content_item,0,13,5652,B,0.6524869203567505,0.6114218235015869,0.7273120880126953,4
pog,content_item,1,13,23325,B,0.6262103319168091,0.6114218235015869,0.7273120880126953,5
pog,content_item,2,14,3944,G,0.5559127330780029,0.6144053339958191,0.8104445934295654,7
pog,content_item,3,14,27893,G,0.6289349794387817,0.6144053339958191,0.8104445934295654,4
pog,content_item,4,14,44302,G,0.6692894697189331,0.6144053339958191,0.8104445934295654,3
pog,content_item,5,20,14727,B,0.5059423446655273,0.49915510416030884,0.5654176473617554,5
pog,content_item,6,20,43792,B,0.5588881969451904,0.49915510416030884,0.5654176473617554,2
pog,content_item,7,21,39842,A,0.5706352591514587,0.5895253419876099,0.6896412372589111,6
pog,content_item,8,21,46293,A,0.5805923938751221,0.5895253419876099,0.6896412372589111,6
pog,content_item,9,26,2456,G,0.455292284488678,0.44398751854896545,0.494390606880188,5
pog,content_item,10,26,28894,G,0.5159530639648438,0.44398751854896545,0.494390606880188,1
pog,content_item,11,28,24783,G,0.5953415632247925,0.5188968777656555,0.6372374296188354,4
pog,content_item,12,28,37245,G,0.4829931855201721,0.5188968777656555,0.6372374296188354,6
pog,content_item,13,29,6364,C,0.5273537635803223,0.4967091977596283,0.592228353023529,2
pog,content_item,14,29,11221,C,0.6231688857078552,0.4967091977596283,0.592228353023529,1
pog,content_item,15,48,25808,I,0.5613149404525757,0.5045683979988098,0.5903085470199585,2
pog,content_item,16,48,29501,I,0.619687557220459,0.5045683979988098,0.5903085470199585,1
pog,content_item,17,49,40631,B,0.556273341178894,0.5185028314590454,0.5967631936073303,2
pog,content_item,18,49,46432,B,0.4695712924003601,0.5185028314590454,0.5967631936073303,10
pog,content_item,19,58,6457,G,0.6514939069747925,0.6006757616996765,0.6899017095565796,3
pog,content_item,20,58,42853,G,0.5450602173805237,0.6006757616996765,0.6899017095565796,9
pog,content_item,21,63,27459,H,0.5057971477508545,0.45970433950424194,0.5715218782424927,2
pog,content_item,22,63,32649,H,0.4164741635322571,0.45970433950424194,0.5715218782424927,8
pog,content_item,23,64,24775,B,0.4662535786628723,0.5302900075912476,0.6512582898139954,9
pog,content_item,24,64,41625,B,0.5027780532836914,0.5302900075912476,0.6512582898139954,8
pog,content_item,25,66,22156,E,0.5563293099403381,0.5541720390319824,0.6444016695022583,6
pog,content_item,26,66,47745,E,0.5570765733718872,0.5541720390319824,0.6444016695022583,6
pog,content_item,27,77,11272,A,0.6912054419517517,0.6019325256347656,0.6682102084159851,1
pog,content_item,28,77,13565,A,0.49911659955978394,0.6019325256347656,0.6682102084159851,10
pog,content_item,29,77,36476,A,0.6364119648933411,0.6019325256347656,0.6682102084159851,4
pog,content_item,30,78,34398,I,0.5325243473052979,0.5743873119354248,0.7684081792831421,8
