dataset,category_a,category_b,bundle_count,support,prob_b_given_a,prob_a_given_b,lift,pmi
pog,126c091a8ff171f694733a624089e68a,664162d351ab59ea042546db288bbf7c,4427,0.22135,0.5873689797001459,0.4380132581379242,1.1623013351145661,0.21698414646747527
pog,2450d5bfc87a1f5b96e2837f5c87a70c,664162d351ab59ea042546db288bbf7c,2475,0.12375,0.6876910252848013,0.24487978628673196,1.3608212630549152,0.44447758863614284
pog,664162d351ab59ea042546db288bbf7c,b608ccb44928992e75009892971acd46,2472,0.1236,0.2445829623033541,0.527191298784389,1.0432201420488554,0.061043629890090025
pog,664162d351ab59ea042546db288bbf7c,852a581f78e4f4d7ecf9972a038e440c,2200,0.11,0.21767092114376174,0.625,1.2367665974077373,0.30657326059389833
pog,664162d351ab59ea042546db288bbf7c,a6cd655d1645f38869be793d5fb194cb,2070,0.1035,0.20480854853072128,0.5186670007516913,1.026352034731753,0.03752565458195204
pog,664162d351ab59ea042546db288bbf7c,95c3a26ab13f3ec5cd28a281e3685e7b,2029,0.10145,0.2007519540912239,0.6307118433322971,1.2480693446765554,0.3196980948104565
pog,126c091a8ff171f694733a624089e68a,a6cd655d1645f38869be793d5fb194cb,1829,0.09145,0.24266949714740613,0.45828113254823355,1.2160836740035386,0.2822424984499678
pog,126c091a8ff171f694733a624089e68a,b608ccb44928992e75009892971acd46,1750,0.0875,0.23218787315908188,0.37321390488377054,0.9903513463812406,-0.013987654788606575
pog,126c091a8ff171f694733a624089e68a,2450d5bfc87a1f5b96e2837f5c87a70c,1674,0.0837,0.2221042855247446,0.4651292025562656,1.234255546122504,0.3036411278381392
pog,3e600277f4bf92983bf6fcb0ac09e0d7,664162d351ab59ea042546db288bbf7c,1528,0.0764,0.5222146274777854,0.15118234886712179,1.0333721727075993,0.047359939603797495
pog,126c091a8ff171f694733a624089e68a,95c3a26ab13f3ec5cd28a281e3685e7b,1461,0.07305,0.19384370439166776,0.4541498290332608,1.2051209474147826,0.26917794436328285
pog,126c091a8ff171f694733a624089e68a,3e600277f4bf92983bf6fcb0ac09e0d7,1338,0.0669,0.1775242138782009,0.45727956254272045,1.213425932181824,0.27908604871549675
pog,664162d351ab59ea042546db288bbf7c,fc528592c3858f90196fbfacc814f235,1323,0.06615,0.13089937666963491,0.5157894736842106,1.020657907755438,0.02949940149079653
pog,2450d5bfc87a1f5b96e2837f5c87a70c,95c3a26ab13f3ec5cd28a281e3685e7b,1218,0.0609,0.33842734092803556,0.3786136151694125,2.103993415778897,1.0731301898783159
pog,852a581f78e4f4d7ecf9972a038e440c,b608ccb44928992e75009892971acd46,1123,0.05615,0.3190340909090909,0.23949669439112817,1.3607766726768649,0.4444303147045706
pog,126c091a8ff171f694733a624089e68a,fc528592c3858f90196fbfacc814f235,1072,0.0536,0.14223165715802044,0.4179337231968811,1.109018769263317,0.14928378217587884
pog,2450d5bfc87a1f5b96e2837f5c87a70c,b608ccb44928992e75009892971acd46,1008,0.0504,0.2800777993887191,0.21497120921305182,1.194616333498482,0.2565473524038179
pog,664162d351ab59ea042546db288bbf7c,8476c833956c74092868c24514562b0b,951,0.04755,0.09409320273078065,0.5548424737456242,1.0979370213626682,0.13479530245459978
pog,a6cd655d1645f38869be793d5fb194cb,b608ccb44928992e75009892971acd46,891,0.04455,0.22325231771485843,0.19001919385796545,0.9522385059281656,-0.07060512616072079
pog,022ab423f035b47ac0af5046c51ed093,664162d351ab59ea042546db288bbf7c,815,0.04075,0.5415282392026578,0.08063718215098446,1.0715904604781992,0.09975364317791174
pog,3afab60a60abe737c6b12772e0fcec0a,664162d351ab59ea042546db288bbf7c,798,0.0399,0.6343402225755167,0.07895517957850995,1.2552492778777418,0.3279738950495927
pog,852a581f78e4f4d7ecf9972a038e440c,a6cd655d1645f38869be793d5fb194cb,788,0.0394,0.22386363636363638,0.1974442495615134,1.1218423270540534,0.16586992196989445
pog,8476c833956c74092868c24514562b0b,852a581f78e4f4d7ecf9972a038e440c,752,0.0376,0.4387397899649942,0.21363636363636362,2.4928397157101947,1.3177901235899276
pog,664162d351ab59ea042546db288bbf7c,6eb82f81b7105a1112fec1bb3c8dd62b,715,0.03575,0.07074304937172257,0.5031667839549613,0.9956797941129143,-0.006246241870492868
pog,46eacb79120159c0d446c08e1f671b0f,664162d351ab59ea042546db288bbf7c,691,0.03455,0.4283942963422195,0.0683684575046997,0.8477180099776778,-0.2383436570608483
pog,3e600277f4bf92983bf6fcb0ac09e0d7,b608ccb44928992e75009892971acd46,687,0.03435,0.23479152426520847,0.14651311580294304,1.0014567040529259,0.002100050508242016
pog,126c091a8ff171f694733a624089e68a,bc11aa63d5a69b1b0f90c34fd2c62102,674,0.0337,0.0894255008624121,0.4912536443148688,1.3035787297727712,0.3824777172215692
pog,664162d351ab59ea042546db288bbf7c,de802e3a05e11e88ddd894aa58e0f4d9,674,0.0337,0.06668645493222519,0.48734634851771513,0.9643738963445436,-0.05233549426209981
pog,664162d351ab59ea042546db288bbf7c,bc11aa63d5a69b1b0f90c34fd2c62102,652,0.0326,0.06450974572078758,0.4752186588921283,0.9403753020522969,-0.08869144623519902
pog,126c091a8ff171f694733a624089e68a,46eacb79120159c0d446c08e1f671b0f,648,0.0324,0.08597585246119145,0.40173589584624925,1.0660366083222745,0.09225698194150478
pog,03bfc1d4783966c69cc6aef8247e0103,814ed433f7b89cef654140214dfdaab5,640,0.032,0.3270311701584057,0.6330365974282888,6.469459350314653,2.6936451519069933
pog,2450d5bfc87a1f5b96e2837f5c87a70c,3afab60a60abe737c6b12772e0fcec0a,638,0.0319,0.17727146429563767,0.5071542130365659,2.818306268611092,1.494828399510302
pog,03bfc1d4783966c69cc6aef8247e0103,ecff24c1d93157b5c20fd73bb31faced,638,0.0319,0.3260091977516607,0.7217194570135747,7.375773704788702,2.882794393296083
pog,022ab423f035b47ac0af5046c51ed093,126c091a8ff171f694733a624089e68a,632,0.0316,0.41993355481727573,0.08385299190659413,1.1143254738417827,0.1561706787425617
pog,126c091a8ff171f694733a624089e68a,6eb82f81b7105a1112fec1bb3c8dd62b,631,0.03155,0.0837203131219318,0.44405348346235046,1.1783295302171963,0.23674305795229156
pog,0ab410a4baf435f5b6496cb061c11dc1,664162d351ab59ea042546db288bbf7c,628,0.0314,0.5941343424787133,0.06213515385376472,1.1756888146407702,0.2335062532154796
pog,b608ccb44928992e75009892971acd46,fc528592c3858f90196fbfacc814f235,604,0.0302,0.1288121134570271,0.2354775828460039,1.004382950931985,0.006309444659291286
pog,126c091a8ff171f694733a624089e68a,c6ba1690407cbd175f036694488a914e,599,0.02995,0.07947459201273717,0.4769108280254777,1.2655189810945409,0.33972914610968163
pog,852a581f78e4f4d7ecf9972a038e440c,fc528592c3858f90196fbfacc814f235,598,0.0299,0.16988636363636364,0.2331384015594542,1.3246500088605353,0.4056112297284786
pog,03bfc1d4783966c69cc6aef8247e0103,72b059d86956ec93bbe2ae5a6622f4bd,597,0.02985,0.30505876341338783,0.6304118268215417,6.442634918973343,2.6876508447190655
pog,46eacb79120159c0d446c08e1f671b0f,a6cd655d1645f38869be793d5fb194cb,594,0.0297,0.36825790452572843,0.14883487847657229,1.8454417666035,0.8839662136833007
pog,126c091a8ff171f694733a624089e68a,8476c833956c74092868c24514562b0b,578,0.0289,0.07668833753482818,0.3372228704784131,0.89484641230838,-0.16028800939929833
pog,664162d351ab59ea042546db288bbf7c,c6ba1690407cbd175f036694488a914e,568,0.0284,0.05619867418620758,0.45222929936305734,0.8948833469141335,-0.16022846368040894
pog,08734b0d499542a3a0ae060fb5597d09,664162d351ab59ea042546db288bbf7c,542,0.0271,0.47007805724197743,0.05362619966359949,0.9302029429939199,-0.10438259059136448
pog,3e600277f4bf92983bf6fcb0ac09e0d7,852a581f78e4f4d7ecf9972a038e440c,541,0.02705,0.18489405331510594,0.1536931818181818,1.0505343938358291,0.07112339571311804
pog,a6cd655d1645f38869be793d5fb194cb,de802e3a05e11e88ddd894aa58e0f4d9,539,0.02695,0.135053871210223,0.3897324656543745,1.9530567058600579,0.9657338376401892
pog,a6cd655d1645f38869be793d5fb194cb,c6ba1690407cbd175f036694488a914e,519,0.02595,0.13004259584064146,0.41321656050955413,2.0707419719847366,1.0501477955044318
pog,08734b0d499542a3a0ae060fb5597d09,126c091a8ff171f694733a624089e68a,501,0.02505,0.43451864700780574,0.06647207111582858,1.1530281199623342,0.20542769775595926
pog,0ab410a4baf435f5b6496cb061c11dc1,126c091a8ff171f694733a624089e68a,478,0.0239,0.4522232734153264,0.06342045906859493,1.2000086862553438,0.26304484881058826
pog,8476c833956c74092868c24514562b0b,b608ccb44928992e75009892971acd46,473,0.02365,0.2759626604434072,0.10087438686287055,1.177064024070835,0.23519279505552432
pog,022ab423f035b47ac0af5046c51ed093,852a581f78e4f4d7ecf9972a038e440c,457,0.02285,0.3036544850498339,0.12982954545454545,1.7253095741467834,0.7868552494357951
pog,a6cd655d1645f38869be793d5fb194cb,bc11aa63d5a69b1b0f90c34fd2c62102,422,0.0211,0.10573791029817088,0.3075801749271137,1.5413689547838323,0.6242122385725508
pog,664162d351ab59ea042546db288bbf7c,8585a77eaebc91282b433359863cb569,415,0.02075,0.04106065103393688,0.515527950310559,1.0201403983586803,0.02876771893884389
pog,2b28f4772c30b8544c742f6a349a06b3,664162d351ab59ea042546db288bbf7c,414,0.0207,0.5718232044198895,0.04096170970614425,1.131538942158681,0.1782862361226556
pog,3afab60a60abe737c6b12772e0fcec0a,95c3a26ab13f3ec5cd28a281e3685e7b,413,0.02065,0.32829888712241656,0.12838047870686975,2.0410250986783747,1.0292939234368672
pog,95c3a26ab13f3ec5cd28a281e3685e7b,a6cd655d1645f38869be793d5fb194cb,411,0.02055,0.12775878147342246,0.10298170884490103,0.6402344348455146,-0.6433278209328779
pog,03bfc1d4783966c69cc6aef8247e0103,19125833f147d19800e3aa39ecfc76c2,410,0.0205,0.20950434338272866,0.3565217391304348,3.6435537979604984,1.865346292596354
