category_id,item_count,mean_embedding_norm
2450d5bfc87a1f5b96e2837f5c87a70c,4615,0.7260079383850098
664162d351ab59ea042546db288bbf7c,3640,0.7667142152786255
126c091a8ff171f694733a624089e68a,3221,0.7251009345054626
852a581f78e4f4d7ecf9972a038e440c,1642,0.7922689914703369
a6cd655d1645f38869be793d5fb194cb,1636,0.76365065574646
3e600277f4bf92983bf6fcb0ac09e0d7,1483,0.7320622205734253
fc528592c3858f90196fbfacc814f235,1208,0.7461365461349487
3afab60a60abe737c6b12772e0fcec0a,1112,0.7498924136161804
46eacb79120159c0d446c08e1f671b0f,1109,0.7556344270706177
8476c833956c74092868c24514562b0b,1094,0.7697997689247131
022ab423f035b47ac0af5046c51ed093,792,0.7667840123176575
b608ccb44928992e75009892971acd46,774,0.760259211063385
95c3a26ab13f3ec5cd28a281e3685e7b,739,0.7818518280982971
bc11aa63d5a69b1b0f90c34fd2c62102,695,0.7465707063674927
c6ba1690407cbd175f036694488a914e,672,0.7555351257324219
6eb82f81b7105a1112fec1bb3c8dd62b,659,0.7490863800048828
2b28f4772c30b8544c742f6a349a06b3,573,0.7619543671607971
08734b0d499542a3a0ae060fb5597d09,508,0.7467615604400635
8585a77eaebc91282b433359863cb569,468,0.7946423888206482
841c8877534da01768696cd2375bab70,393,0.7471249103546143
03bfc1d4783966c69cc6aef8247e0103,369,0.7453368902206421
de802e3a05e11e88ddd894aa58e0f4d9,362,0.7978439331054688
0ab410a4baf435f5b6496cb061c11dc1,345,0.792468249797821
fbf269b6cc339b080853c548156a1050,257,0.7622151374816895
1199c4654170f33208d7932d7d2587a5,229,0.7629534602165222
19125833f147d19800e3aa39ecfc76c2,228,0.7808905243873596
72b059d86956ec93bbe2ae5a6622f4bd,219,0.7699873447418213
64fe11119537f0ea81cfb5e4d54b3c71,215,0.7414289712905884
b5512b7b61119e0a76d1f6b3bd6d2b94,213,0.7729490399360657
ecff24c1d93157b5c20fd73bb31faced,180,0.7644969820976257
83fb64f0af37f88a42f311549fb261cb,153,0.7668286561965942
c6342df4744ae61888fa993d281972d7,129,0.7611017227172852
77c9c3bb3736bf7ba3a3d36b532f6962,123,0.7679288387298584
82462c11b65faedd60ec94210debc584,110,0.7753194570541382
44187dfef4ed2dd3669957cc9592514e,85,0.7534291744232178
c024d6d8b2a5878439b85d8146a91239,85,0.7589506506919861
a68b85f0e84cbac87f49f5483e16fb6d,82,0.7530636787414551
c7d17d4d3b51ccfb89c4c0f40ae87262,69,0.7160208821296692
23ee17885f87575534b44d099507a747,62,0.7613531351089478
b6f318187d9a7cf416a2e84fc24349aa,61,0.7897035479545593
12ba81fb3ad68ad5b21e4cec7be42666,60,0.7209624648094177
814ed433f7b89cef654140214dfdaab5,59,0.758665144443512
58f1ddb77bfc5576db30fa20e53111fa,56,0.7826326489448547
7b0b5e99f45560c0f83ee235d461ca04,47,0.7746395468711853
9e3e1aff5fca5f418e5e3679ff932c05,43,0.8287656903266907
f38776a72637f9103f9229c5f2c92e41,37,0.7997668385505676
e89e92593584db62ee08a1502919819d,35,0.7889108061790466
83668c24f1cbd74fb8e01a243e79a3a0,34,0.797075092792511
2637918fb4c6fbe3432dab045d841406,28,0.8283993005752563
594c45bd75088c708c8acb043ca9b377,24,0.8272274732589722
2deec110140f47a0a9b9fddf744f956e,20,0.8656995296478271
c5a37fdeb54701aa580971fcfe834201,19,0.7895791530609131
dab681fd76ae76e9421f7378ed0ed11d,18,0.7966088056564331
856a563554cc6f5b2bac63e3e8ff10b5,17,0.7825098037719727
188ff8c06949a640ea5ac102e60941ec,16,0.8280527591705322
7c3f3d05228e2ee51736f64757cfb385,16,0.7982015013694763
5b971cf50885d3dc973bfc30a389361f,15,0.747292697429657
6b0fd0d9ed161e73775d02021a82eebc,15,0.870101273059845
6d399e81b6d56cdf82bed9c5b35a1885,10,0.7481046915054321
ab493384339108f4d90b1ae4d5a5ee3d,9,0.8089606165885925
604b7f56f881d721455b0bd5815a7c88,8,0.767973780632019
24ba242c5b46bb809b6ce85d8c6253e3,7,0.7941874265670776
9fd21872baa91cc0713a7ee1d29529ca,6,0.8430432677268982
2f31c28c89277ed7b750018066a28b35,3,0.8414068222045898
d2d96e58ef034b572fcf4e8c6d663b84,3,0.8992583751678467
9fa5c6beaf93259bc3dcd4ead2b3397f,2,0.9433888792991638
1d14b937ef24d01520848534952cee70,1,1.0000932216644287
